Jennifer Abbott
Sarah Abbott
Jennifer Abod
Marguerite Abouet
Abiola Abrams
Mona Achache
Nan Achnas
Ally Acker
Jill Ackles
Kasia Adamik
Catlin Adams
Joey Lauren Adams
Perry Miller Adato
Anita W. Addison
Maren Ade
Harmony Adesola
Elvire Adjamonsi
Dianna Agron
Yasmin Ahmad
Peggy Ahwesh
Shirikiana Aina
Kyōko Aizome
Omolola Ajao
Mania Akbari
Chantal Akerman
Desiree Akhavan
Zoya Akhtar
Nargis Akhter
Atuat Akkitirq
Zaynê Akyol
Haifaa al-Mansour
Gina Alajar
Barbara Albert
Karin Albou
Victoria Aleksanyan
Lexi Alexander
Debbie Allen
Elizabeth Allen
Jennifer Alleyn
Natalia Almada
Mairzee Almas
Chihiro Amano
Suzana Amaral
Tata Amaral
Barbra Amesbury
Ana Lily Amirpour
Bonnie Ammaq
Valerie Amponsah
Allison Anders
Deborah Anderson
Gillian Anderson
Jane Anderson
Laurie Anderson
Madeline Anderson
Sarah Pia Anderson
Sini Anderson
Kamila Andini
Momoko Ando
Fern Andra
Scilla Andreen
Joanna Angel
Irene Angelico
Lucia Aniello
Jennifer Aniston
Catherine Annau
Martha Ansara
Jessie Anthony
Lisa Rose Apramian
Shamim Ara
Danielle Arbid
Louise Archambault
Francesca Archibugi
Fanny Ardant
Jane Arden
Asia Argento
Allison Argo
Kay Armatage
Aviva Armour-Ostroff
Franny Armstrong
Gillian Armstrong
Alethea Arnaquq-Baril
Gwen Arner
Andrea Arnold
Patricia Arquette
Rosanna Arquette
Karen Arthur
Natasha Arthy
Larysa Artiugina
Ritva Arvelo
Dorothy Arzner
Dinara Asanova
Amma Asante
Mari Asato
Katie Aselton
Asinnajaq
Ratna Asmara
Dorothy A. Atabong
Daisy Aitkens
Jacqueline Audry
Shona Auerbach
Latesha Auger
Susan Avingaq
Ashley Avis
Nurith Aviv
Ronit Avni
Tali Avrahami
Lisa Azuelos
Beth B
Jamie Babbit
Iskra Babich
Julia Bacha
Yamina Bachir-Chouikh
Marina Rice Bader
Cindy Baer
Jennifer Baichwal
Norma Bailey
Paule Baillargeon
Robin Bain
Catherine Bainbridge
Josiane Balasko
Lucille Ball
Marta Balletbò-Coll
Anne Bancroft
Rakhshan Bani-Etemad
Elizabeth Banks
Sofia Banzhaf
Manon Barbeau
Anaïs Barbeau-Lavalette
Laurence Ferreira Barbosa
Laura Bari
Céline Baril
Neema Barnette
Roseanne Barr
Katherine Barrell
Cecilia Barriga
Drew Barrymore
Maria Basaglia
Svetlana Baskova
Angela Bassett
Michal Bat-Adam
Joy Batchelor
Kathy Bates
Signe Baumane
Janet Baus
Jordan Bayne
Amanda Bearse
Maria Beatty
Marjorie Beaucage
Renée Beaulieu
Gabrielle Beaumont
André-Line Beauparlant
Aida Begić
Fatma Begum
Feryal Behzad
Nancy Beiman
Esther Bell
Jennifer Lyon Bell
Mary Lou Belli
Edet Belzberg
María Luisa Bemberg
Nicol Ruiz Benavides
Jessica Bendinger
Yamina Benguigui
Sadie Benning
Denyse Benoit
Amber Benson
Emmanuelle Bercot
Amy J. Berg
Zaida Bergroth
Shari Springer Berman
Joyce Bernal
Halle Berry
Juliet Berto
Diane Bertrand
Julie Bertuccelli
Maïwenn Le Besco
Jane Marsh Beveridge
Troy Beyer
Pooja Bhatt
Natalie Bible
Ric Esther Bienstock
Susanne Bier
Kathryn Bigelow
Anna Biller
Patricia Birch
Antonia Bird
Roshell Bissett
Sophie Bissonnette
Justine Bitagoye
Simone Bitton
Marthe Blackburn
Sonia Blangiardo
Katja Blichfeld
Lidia Bobrova
Marusya Bociurkiw
Emily Kai Bock
Anna Boden
Sofia Bohdanowicz
Sonia Bonspille Boileau
Sophie Farkas Bolla
Icíar Bollaín
Natalya Bondarchuk
Lisa Bonet
Sandrine Bonnaire
Manju Borah
Uisenma Borchu
Lizzie Borden
Joyce Borenstein
Shonali Bose
Karen Boswall
Leyla Bouzid
Kansas Bowling
Muriel Box
Maureen Bradley
Madeline Brandeis
Maryann Brandon
Netalie Braun
Janicza Bravo
Anja Breien
Catherine Breillat
Zabou Breitman
Pietra Brettkelly
Amit Breuer
Manon Briand
Zana Briski
Tricia Brock
Beth Broderick
Sandrine Brodeur-Desrosiers
Katrina Holden Bronson
Katherine Brooks
Julie Brown
Christene Browne
Frances Buss Buch
Valerie Buhagiar
Kathy Burke
Nanette Burstein
Mira Burt-Wintonick
Maria Burton
Sophia Bush
Akosua Busia
Andrea Bussmann
Mary Ellen Bute
Dominique Cabrera
Sophia Cacciola
Anne-Marie Cadieux
Diane Cailhier
Terril Calder
Julia Cameron
Jessica Cameron
Leah Cameron
Peg Campbell
Tisha Campbell-Martin
Jane Campion
Kat Candler
Jordan Canning
Dyan Cannon
Kay Cannon
Dominique Cardona
Fernanda Cardoso
Patricia Cardoso
Maggie Carey
Edith Carlmar
Niki Caro
Ana Carolina
Joan Carr-Wiggin
Albertina Carri
Mélanie Carrier
Shelagh Carter
Kirsten Carthew
Alexandra Cassavetes
Zoe Cassavetes
Jacqueline Castel
Cecil Castellucci
Ruth Caudeli
Liliana Cavani
Geneviève Dulude-De Celles
Jennifer Celotta
Thea Červenková
Gurinder Chadha
Lydia Chagoll
Ilene Chaiken
Tanuja Chandra
Sylvia Chang
Lyne Charlebois
Miryam Charles
Martine Chartrand
Lilyan Chauvin
Shu Lea Cheang
Shirley Cheechoo
Joan Chen
Evelyn Spice Cherry
Mabel Cheung
Sagari Chhabra
Patricia Chica
Abigail Child
Aisling Chin-Yee
SJ Chiro
Karen Cho
Monia Chokri
Lisa Cholodenko
Joyce Chopra
Zero Chou
Deborah Chow
Věra Chytilová
Katerina Cizek
Julie St. Claire
Shirley Clarke
Millefiore Clarkes
Maja Classen
Marie Clements
Jub Clerc
Susan Cohen
Yulie Cohen
Isabel Coixet
Giada Colagrande
